# x y_count sigma_count
1.00000 3 2.000000
1.09091 7 2.828427
1.18182 8 3.000000
1.27273 4 2.236068
1.36364 12 3.605551
1.45455 5 2.449490
1.54545 2 1.732051
1.63636 4 2.236068
1.72727 10 3.316625
1.81818 5 2.449490
1.90909 7 2.828427
2.00000 2 1.732051
2.09091 8 3.000000
2.18182 8 3.000000
2.27273 5 2.449490
2.36364 8 3.000000
2.45455 10 3.316625
2.54545 7 2.828427
2.63636 5 2.449490
2.72727 8 3.000000
2.81818 3 2.000000
2.90909 11 3.464102
3.00000 6 2.645751
3.09091 13 3.741657
3.18182 11 3.464102
3.27273 7 2.828427
3.36364 11 3.464102
3.45455 10 3.316625
3.54545 8 3.000000
3.63636 10 3.316625
3.72727 6 2.645751
3.81818 7 2.828427
3.90909 10 3.316625
4.00000 9 3.162278
4.09091 11 3.464102
4.18182 11 3.464102
4.27273 12 3.605551
4.36364 15 4.000000
4.45455 17 4.242641
4.54545 20 4.582576
4.63636 9 3.162278
4.72727 8 3.000000
4.81818 11 3.464102
4.90909 18 4.358899
5.00000 20 4.582576
5.09091 7 2.828427
5.18182 11 3.464102
5.27273 17 4.242641
5.36364 19 4.472136
5.45455 8 3.000000
5.54545 11 3.464102
5.63636 19 4.472136
5.72727 14 3.872983
5.81818 16 4.123106
5.90909 17 4.242641
6.00000 13 3.741657
6.09091 12 3.605551
6.18182 16 4.123106
6.27273 14 3.872983
6.36364 14 3.872983
6.45455 11 3.464102
6.54545 15 4.000000
6.63636 22 4.795832
6.72727 18 4.358899
6.81818 17 4.242641
6.90909 10 3.316625
7.00000 27 5.291503
7.09091 22 4.795832
7.18182 20 4.582576
7.27273 13 3.741657
7.36364 18 4.358899
7.45455 22 4.795832
7.54545 11 3.464102
7.63636 16 4.123106
7.72727 9 3.162278
7.81818 15 4.000000
7.90909 23 4.898979
8.00000 19 4.472136
8.09091 27 5.291503
8.18182 18 4.358899
8.27273 11 3.464102
8.36364 23 4.898979
8.45455 18 4.358899
8.54545 23 4.898979
8.63636 17 4.242641
8.72727 15 4.000000
8.81818 17 4.242641
8.90909 28 5.385165
9.00000 23 4.898979
9.09091 14 3.872983
9.18182 19 4.472136
9.27273 29 5.477226
9.36364 16 4.123106
9.45455 21 4.690416
9.54545 20 4.582576
9.63636 23 4.898979
9.72727 29 5.477226
9.81818 21 4.690416
9.90909 21 4.690416
10.00000 29 5.477226
