# redshift DM
0.004331 67.888851
0.005026 131.968329
0.008607 13.111406
0.009174 1.215512
0.014873 21.533153
0.015867 200.167944
0.015952 6.847234
0.016382 87.836207
0.017606 11.283716
0.018154 50.381491
0.018239 97.310677
0.019028 74.158275
0.020996 99.181700
0.021441 13.793533
0.021615 17.254855
0.021820 185.277768
0.022019 163.417550
0.022023 161.855211
0.022450 23.276289
0.022807 126.189573
0.023219 189.273622
0.023652 22.162170
0.024066 129.909801
0.024877 104.197062
0.024903 29.434968
0.025677 26.905704
0.025904 137.660065
0.025986 18.094707
0.026038 16.601674
0.026215 172.710146
0.026391 24.178472
0.026843 53.127777
0.026875 67.912334
0.027108 23.981871
0.027624 17.411297
0.027680 24.704237
0.027720 26.014846
0.028015 60.819793
0.028469 157.859407
0.028616 5.562412
0.029084 9.322053
0.029288 10.023233
0.029311 120.710771
0.029349 113.980283
0.029433 13.791289
0.029755 105.780378
0.029802 100.053210
0.030035 95.358271
0.030176 140.882052
0.031021 19.215282
0.031121 241.638718
0.031338 55.674741
0.031489 97.822821
0.031610 9.172235
0.032032 77.851684
0.032035 28.010629
0.032051 2.440332
0.032183 115.100124
0.032448 120.514590
0.032557 75.887857
0.032595 28.603458
0.032905 49.004551
0.033072 215.489052
0.033160 192.134209
0.033254 48.117172
0.033331 113.593722
0.033351 29.816360
0.033388 146.448245
0.033388 115.956880
0.033394 133.214211
0.033828 15.891444
0.033941 155.332164
0.034023 63.989077
0.034051 94.723603
0.034138 4.113303
0.034673 2.728490
0.034714 131.172861
0.035282 36.010179
0.035385 80.993448
0.035444 64.977720
0.035589 71.961571
0.035898 7.483594
0.035904 25.824852
0.036037 232.552206
0.036173 59.609233
0.036289 56.545104
0.036527 59.136054
0.036552 10.813739
0.037069 205.860814
0.037330 327.550701
0.037380 105.964431
0.037427 75.339038
0.037597 0.306865
0.037709 265.217402
0.037805 24.651982
0.037926 11.149669
0.038276 32.892980
0.038287 292.358296
0.038316 81.495392
0.038353 32.574138
0.038871 78.827112
0.038883 84.391763
0.039541 3.820981
0.039726 42.727998
0.039759 210.088607
0.039824 182.437276
0.039850 202.963964
0.039896 7.381830
0.040118 147.968551
0.040553 137.651144
0.040663 73.578997
0.040701 141.236111
0.040710 89.460284
0.040838 144.714607
0.040909 118.975360
0.040909 66.849134
0.040935 139.087290
0.040962 147.701948
0.040966 127.821973
0.041513 7.469337
0.041660 7.386239
0.041753 158.701334
0.041929 174.698882
0.042022 144.375525
0.042104 208.726967
0.042166 124.277622
0.042226 106.844856
0.042395 320.999778
0.042465 107.004921
0.042484 387.061876
0.042508 148.933886
0.042540 150.956096
0.042621 206.536071
0.042683 61.565726
0.042873 48.229731
0.042988 97.306722
0.043058 45.796820
0.043285 138.869713
0.043502 185.904202
0.043738 89.988083
0.043903 59.073967
0.044259 49.816480
0.044453 50.458725
0.044483 82.812132
0.044560 163.049234
0.045030 123.858670
0.045062 46.317729
0.045282 31.273047
0.045493 20.945209
0.045585 280.469322
0.045621 117.005613
0.045739 283.057419
0.045880 46.832940
0.046006 183.958472
0.046317 99.782367
0.046362 60.523604
0.046482 4.230214
0.046558 6.971971
0.046561 110.368968
0.046866 20.826298
0.046959 62.200812
0.046998 108.137494
0.047208 82.911199
0.047254 95.945365
0.047259 138.497568
0.047275 166.497082
0.047409 118.986323
0.047447 224.936696
0.047540 105.281438
0.047554 61.685721
0.048025 3.468344
0.048033 77.148831
0.048278 115.227388
0.048279 68.149631
0.048316 86.929114
0.048316 83.354672
0.048327 130.006680
0.048343 61.542150
0.048388 139.342748
0.048435 234.628560
0.048528 7.265250
0.048688 152.242767
0.048698 139.548923
0.048859 117.966374
0.048864 44.327676
0.048914 217.910385
0.048964 28.843631
0.048994 142.702129
0.049091 66.547418
0.049201 74.718059
0.049424 176.319904
0.049430 45.002399
