\lambda d_k
6.500000000000000000e+03 1.248357076505616448e+00
6.500603015075376788e+03 9.308678494144076998e-01
6.501206030150753577e+03 1.323844269050346245e+00
6.501809045226130365e+03 1.761514928204012786e+00
6.502412060301507154e+03 8.829233126383320140e-01
6.503015075376884852e+03 8.829315215254097682e-01
6.503618090452261640e+03 1.789606407753695727e+00
6.504221105527638429e+03 1.383717364576454445e+00
6.504824120603015217e+03 7.652628070325239173e-01
6.505427135678392006e+03 1.271280021792982273e+00
6.506030150753768794e+03 7.682911535937688718e-01
6.506633165829145582e+03 7.671351232148715393e-01
6.507236180904522371e+03 1.120981135783017058e+00
6.507839195979899159e+03 4.335987767110105473e-02
6.508442211055275948e+03 1.375410837434836164e-01
6.509045226130653646e+03 7.188562353795135973e-01
6.509648241206030434e+03 4.935844398327881022e-01
6.510251256281407223e+03 1.157123666297636966e+00
6.510854271356784011e+03 5.459879622393943865e-01
6.511457286432160799e+03 2.938481493323541471e-01
6.512060301507537588e+03 1.732824384460776912e+00
6.512663316582914376e+03 8.871118497567321848e-01
6.513266331658291165e+03 1.033764102343961877e+00
6.513869346733667953e+03 2.876259068932716101e-01
6.514472361809045651e+03 7.278086377374086702e-01
6.515075376884422440e+03 1.055461294854933119e+00
6.515678391959799228e+03 4.245032112888486031e-01
6.516281407035176017e+03 1.187849009172835979e+00
6.516884422110552805e+03 6.996806550405975100e-01
6.517487437185929593e+03 8.541531251033616101e-01
6.518090452261306382e+03 6.991466938853014845e-01
6.518693467336683170e+03 1.926139092254468999e+00
6.519296482412059959e+03 9.932513876310330447e-01
6.519899497487436747e+03 4.711445355220500453e-01
6.520502512562814445e+03 1.411272456051594570e+00
6.521105527638191234e+03 3.895781750144888811e-01
6.521708542713568022e+03 1.104431797502377632e+00
6.522311557788944810e+03 2.016493806011221412e-02
6.522914572864321599e+03 3.359069755507847477e-01
6.523517587939698387e+03 1.098430617934561759e+00
6.524120603015075176e+03 1.369233289997705327e+00
6.524723618090451964e+03 1.085684140594985303e+00
6.525326633165828753e+03 9.421758588058797290e-01
6.525929648241206451e+03 8.494481522053556333e-01
6.526532663316583239e+03 2.607390048162863128e-01
6.527135678391960028e+03 6.400778958026456245e-01
6.527738693467336816e+03 7.696806145201062765e-01
6.528341708542713604e+03 1.528561113109457859e+00
6.528944723618090393e+03 1.171809144784230705e+00
6.529547738693467181e+03 1.184799223186330241e-01
6.530150753768843970e+03 1.162041984697397501e+00
